2026,04,27,w,75.0
2026,04,27,c,2000.0
2026,04,27,f,Hot Dog,1.0
2026,04,27,f,Hot Dog Bun,1.0
2026,04,27,f,Mustard,1.0
2026,04,27,e,Gardening,20.0
2026,04,27,e,Jogging (5 mph),30.0
2026,04,28,w,76.0
2026,04,28,c,2200.0
2026,04,28,f,Hot Dog,2.0
2026,04,28,f,Hot Dog Bun,2.0
2026,04,28,e,Bicycling (14-16 mph),40.0
2026,04,29,w,76.0
2026,04,29,c,2000.0
2026,04,29,f,Hot Dog,1.0
2026,04,29,f,Mustard,1.0
2026,04,29,e,Gardening,15.0
2026,05,03,w,76.0
2026,05,03,c,2000.0
2026,05,03,f,Banana,1.0
2026,05,03,f,Peanut Butter,1.0
2026,05,03,f,Egg,2.0
2026,05,03,e,Aerobics (low impact),15.0
2026,05,03,e,Aerobics (high impact),30.0
2026,05,04,w,76.0
2026,05,04,c,2000.0
2026,05,05,w,76.0
2026,05,05,c,2000.0
2026,05,05,f,Butter,3.0
2026,05,05,f,Chicken Breast,4.0
2026,05,05,f,Egg,2.0
2026,05,05,f,Peanut Butter,2.0
2026,05,05,f,Milk,2.0
2026,05,05,e,Soccer,20.0
